version,downloadUrl,checksum,wrapperChecksum,gradlew,gradlewBat
7.1-rc-1,https://services.gradle.org/distributions/gradle-7.1-rc-2-bin.zip,caa8e323577de2fa421b47dded5278e7376c2bb6420221fbaf7908dfa9be8657,33ad4583fd7ee156f533778736fa1b4940bd83b433934d1cc4e9f608e99a6a89,ae5b118f,4c6b9dc9
7.1-rc-2,https://services.gradle.org/distributions/gradle-7.1-rc-2-bin.zip,caa8e323577de2fa421b47dded5278e7376c2bb6420221fbaf7908dfa9be8657,33ad4583fd7ee156f533778736fa1b4940bd83b433934d1cc4e9f608e99a6a89,ae5b118f,4c6b9dc9
7.0.2,https://services.gradle.org/distributions/gradle-7.0.2-bin.zip,0e46229820205440b48a5501122002842b82886e76af35f0f3a069243dca4b3c,e996d452d2645e70c01c11143ca2d3742734a28da2bf61f25c82bdc288c9e637,be340f5d,4c6b9dc9
7.0.1,https://services.gradle.org/distributions/gradle-7.0.1-bin.zip,dccda8aa069563c8ba2f6cdfd0777df0e34a5b4d15138ca8b9757e94f4e8a8cb,e996d452d2645e70c01c11143ca2d3742734a28da2bf61f25c82bdc288c9e637,be340f5d,4c6b9dc9
7.0,https://services.gradle.org/distributions/gradle-7.0-bin.zip,eb8b89184261025b0430f5b2233701ff1377f96da1ef5e278af6ae8bac5cc305,e996d452d2645e70c01c11143ca2d3742734a28da2bf61f25c82bdc288c9e637,be340f5d,4c6b9dc9
7.0-rc-2,https://services.gradle.org/distributions/gradle-7.0-rc-1-bin.zip,12b807b5d6b065f05e0e47d8d00e9d55fe26d3cfc6cdb22d6825a93940edec90,e996d452d2645e70c01c11143ca2d3742734a28da2bf61f25c82bdc288c9e637,be340f5d,4c6b9dc9
7.0-rc-1,https://services.gradle.org/distributions/gradle-7.0-rc-1-bin.zip,12b807b5d6b065f05e0e47d8d00e9d55fe26d3cfc6cdb22d6825a93940edec90,e996d452d2645e70c01c11143ca2d3742734a28da2bf61f25c82bdc288c9e637,be340f5d,4c6b9dc9
7.0-milestone-1,https://services.gradle.org/distributions/gradle-7.0-milestone-3-bin.zip,2e6b95b41001bd9f099b17a772c3308fe59356f8b7f995ffd7bf74400db0f13c,e996d452d2645e70c01c11143ca2d3742734a28da2bf61f25c82bdc288c9e637,be340f5d,4c6b9dc9
7.0-milestone-2,https://services.gradle.org/distributions/gradle-7.0-milestone-2-bin.zip,a971b1cd25348e0dbeb56e4b7a7bb7dd06d7b092c166116f5247427f32fc4281,e996d452d2645e70c01c11143ca2d3742734a28da2bf61f25c82bdc288c9e637,be340f5d,4c6b9dc9
7.0-milestone-3,https://services.gradle.org/distributions/gradle-7.0-milestone-3-bin.zip,2e6b95b41001bd9f099b17a772c3308fe59356f8b7f995ffd7bf74400db0f13c,e996d452d2645e70c01c11143ca2d3742734a28da2bf61f25c82bdc288c9e637,be340f5d,4c6b9dc9
6.9.4,https://services.gradle.org/distributions/gradle-6.9.4-bin.zip,3e240228538de9f18772a574e99a0ba959e83d6ef351014381acd9631781389a,e996d452d2645e70c01c11143ca2d3742734a28da2bf61f25c82bdc288c9e637,f27d7133,4c6b9dc9
6.9.3,https://services.gradle.org/distributions/gradle-6.9.3-bin.zip,dcf350b8ae1aa192fc299aed6efc77b43825d4fedb224c94118ae7faf5fb035d,e996d452d2645e70c01c11143ca2d3742734a28da2bf61f25c82bdc288c9e637,f27d7133,4c6b9dc9
6.9.2,https://services.gradle.org/distributions/gradle-6.9.2-bin.zip,8b356fd8702d5ffa2e066ed0be45a023a779bba4dd1a68fd11bc2a6bdc981e8f,e996d452d2645e70c01c11143ca2d3742734a28da2bf61f25c82bdc288c9e637,f27d7133,4c6b9dc9
6.9.1,https://services.gradle.org/distributions/gradle-6.9.1-bin.zip,8c12154228a502b784f451179846e518733cf856efc7d45b2e6691012977b2fe,e996d452d2645e70c01c11143ca2d3742734a28da2bf61f25c82bdc288c9e637,be340f5d,4c6b9dc9
6.9,https://services.gradle.org/distributions/gradle-6.9-bin.zip,765442b8069c6bee2ea70713861c027587591c6b1df2c857a23361512560894e,e996d452d2645e70c01c11143ca2d3742734a28da2bf61f25c82bdc288c9e637,be340f5d,4c6b9dc9
6.9-rc-1,https://services.gradle.org/distributions/gradle-6.9-rc-2-bin.zip,ce62238c6f84286a524590cb60706b7e6ecf00c3be5bddfa0c78345b94d0d127,e996d452d2645e70c01c11143ca2d3742734a28da2bf61f25c82bdc288c9e637,be340f5d,4c6b9dc9
6.9-rc-2,https://services.gradle.org/distributions/gradle-6.9-rc-2-bin.zip,ce62238c6f84286a524590cb60706b7e6ecf00c3be5bddfa0c78345b94d0d127,e996d452d2645e70c01c11143ca2d3742734a28da2bf61f25c82bdc288c9e637,be340f5d,4c6b9dc9
6.8.3,https://services.gradle.org/distributions/gradle-6.8.3-bin.zip,7faa7198769f872826c8ef4f1450f839ec27f0b4d5d1e51bade63667cbccd205,e996d452d2645e70c01c11143ca2d3742734a28da2bf61f25c82bdc288c9e637,be340f5d,4c6b9dc9
6.8.2,https://services.gradle.org/distributions/gradle-6.8.2-bin.zip,8de6efc274ab52332a9c820366dd5cf5fc9d35ec7078fd70c8ec6913431ee610,e996d452d2645e70c01c11143ca2d3742734a28da2bf61f25c82bdc288c9e637,be340f5d,4c6b9dc9
6.8.1,https://services.gradle.org/distributions/gradle-6.8.1-bin.zip,fd591a34af7385730970399f473afabdb8b28d57fd97d6625c388d090039d6fd,e996d452d2645e70c01c11143ca2d3742734a28da2bf61f25c82bdc288c9e637,be340f5d,4c6b9dc9
6.8,https://services.gradle.org/distributions/gradle-6.8-bin.zip,e2774e6fb77c43657decde25542dea710aafd78c4022d19b196e7e78d79d8c6c,e996d452d2645e70c01c11143ca2d3742734a28da2bf61f25c82bdc288c9e637,be340f5d,4c6b9dc9
6.8-rc-3,https://services.gradle.org/distributions/gradle-6.8-rc-1-bin.zip,155bafc3a46f81b7af481ad7dba391a3b9c12818f27da8684178ffeaa40e6d7e,e996d452d2645e70c01c11143ca2d3742734a28da2bf61f25c82bdc288c9e637,be340f5d,4c6b9dc9
6.8-rc-4,https://services.gradle.org/distributions/gradle-6.8-rc-4-bin.zip,6cb03b71767b169eda987338091172cbc84eb0cd53a93c17e6661688411e267e,e996d452d2645e70c01c11143ca2d3742734a28da2bf61f25c82bdc288c9e637,be340f5d,4c6b9dc9
6.8-rc-5,https://services.gradle.org/distributions/gradle-6.8-rc-5-bin.zip,569bebddc0c174475cc25d708e54af793f25fd37e5a72e53674f8ef628b6ddfd,e996d452d2645e70c01c11143ca2d3742734a28da2bf61f25c82bdc288c9e637,be340f5d,4c6b9dc9
6.8-rc-1,https://services.gradle.org/distributions/gradle-6.8-rc-1-bin.zip,155bafc3a46f81b7af481ad7dba391a3b9c12818f27da8684178ffeaa40e6d7e,e996d452d2645e70c01c11143ca2d3742734a28da2bf61f25c82bdc288c9e637,be340f5d,4c6b9dc9
6.8-milestone-3,https://services.gradle.org/distributions/gradle-6.8-milestone-1-bin.zip,cddca6851af8503eb7c8bf5ba778c4c9e878a7b6cf74708fda09cae1952656fc,e996d452d2645e70c01c11143ca2d3742734a28da2bf61f25c82bdc288c9e637,be340f5d,4c6b9dc9
6.8-milestone-2,https://services.gradle.org/distributions/gradle-6.8-milestone-2-bin.zip,0e15751be3270c3cbff10742cc259cbd3b92f379204d645397541f676b0667f6,e996d452d2645e70c01c11143ca2d3742734a28da2bf61f25c82bdc288c9e637,be340f5d,4c6b9dc9
6.8-milestone-1,https://services.gradle.org/distributions/gradle-6.8-milestone-1-bin.zip,cddca6851af8503eb7c8bf5ba778c4c9e878a7b6cf74708fda09cae1952656fc,e996d452d2645e70c01c11143ca2d3742734a28da2bf61f25c82bdc288c9e637,be340f5d,4c6b9dc9
6.7.1,https://services.gradle.org/distributions/gradle-6.7.1-bin.zip,3239b5ed86c3838a37d983ac100573f64c1f3fd8e1eb6c89fa5f9529b5ec091d,e996d452d2645e70c01c11143ca2d3742734a28da2bf61f25c82bdc288c9e637,be340f5d,4c6b9dc9
6.7,https://services.gradle.org/distributions/gradle-6.7-bin.zip,8ad57759019a9233dc7dc4d1a530cefe109dc122000d57f7e623f8cf4ba9dfc4,e996d452d2645e70c01c11143ca2d3742734a28da2bf61f25c82bdc288c9e637,be340f5d,4c6b9dc9
6.7-rc-1,https://services.gradle.org/distributions/gradle-6.7-rc-5-bin.zip,c7c33aa33d32e4bd68df71deb5c6d00f2c4675d88b8a14748661196a717dfe2c,e996d452d2645e70c01c11143ca2d3742734a28da2bf61f25c82bdc288c9e637,be340f5d,4c6b9dc9
