Convention type,Pattern,Example,Frequency,Scope
imports,Static imports from org.openrewrite.java.tree.JavaType,org.openrewrite.java.tree.JavaType.ShallowClass.build,,project-wide
imports,Static imports from org.openrewrite.docker,org.openrewrite.docker.Assertions.docker,,project-wide
imports,Static imports from org.openrewrite.csharp,org.openrewrite.csharp.Assertions.csharp,,project-wide
imports,Static imports from org.openrewrite.jgit.ignore.IgnoreNode,org.openrewrite.jgit.ignore.IgnoreNode.MatchResult.*,,project-wide
naming,Repository suffix for classes,Repository,,project-wide
imports,Static imports from java.time,java.time.ZoneOffset.UTC,,project-wide
imports,Static imports from org.openrewrite.scheduling,org.openrewrite.scheduling.WorkingDirectoryExecutionContextView.WORKING_DIRECTORY_ROOT,,project-wide
imports,Static imports from java.util.function,java.util.function.Function.identity,,project-wide
imports,Static imports from org.openrewrite.config.ResourceLoader,org.openrewrite.config.ResourceLoader.RecipeDetail.EXAMPLES,,project-wide
naming,Error suffix for classes,DeserializationError,,project-wide
imports,Static imports from org.openrewrite.rpc.RpcObjectData,org.openrewrite.rpc.RpcObjectData.State.END_OF_OBJECT,,project-wide
naming,Manager suffix for classes,RewriteRpcProcessManager,,project-wide
imports,Static imports from java.util,java.util.Objects.requireNonNull,,project-wide
naming,camelCase for constants,objenesis,,project-wide
comments,Methods have Javadoc documentation,receiveAndGet,,project-wide
imports,Static imports from java.util.stream,java.util.stream.Collectors.toList,,project-wide
naming,get* method naming pattern,getName,,project-wide
naming,create* method naming pattern,createRecipeDescriptor,,project-wide
imports,Static imports from org.openrewrite.rpc,org.openrewrite.rpc.RpcObjectData.ADDED_LIST_ITEM,,project-wide
imports,Static imports from org.openrewrite.rpc.RpcObjectData,org.openrewrite.rpc.RpcObjectData.State.*,,project-wide
naming,UPPER_SNAKE_CASE for constants,JAVA_TYPE_PACKAGE,,project-wide
naming,is* method naming pattern,isAcceptable,,project-wide
comments,Classes have Javadoc documentation,StackElementSourceLookup,,project-wide
naming,Handler suffix for classes,Handler,,project-wide
imports,Static imports from org.openrewrite,org.openrewrite.ExecutionContext.CURRENT_RECIPE,,project-wide
naming,find* method naming pattern,findParser,,project-wide
naming,handle* method naming pattern,handleError,,project-wide
naming,has* method naming pattern,hasNewMessages,,project-wide
naming,set* method naming pattern,setRoot,,project-wide
imports,Static imports from java.lang,java.lang.Long.parseLong,,project-wide
imports,Static imports from org.openrewrite.semver,org.openrewrite.semver.Semver.isVersion,,project-wide
naming,build* method naming pattern,buildTildeRange,,project-wide
naming,Helper suffix for classes,StyleHelper,,project-wide
imports,Static imports from org.openrewrite.internal,org.openrewrite.internal.ListUtils.nullIfEmpty,,project-wide
naming,parse* method naming pattern,parseInputs,,project-wide
naming,Builder suffix for classes,Builder,,project-wide
naming,Abstract prefix for abstract classes,AbstractProvider,,project-wide
naming,Error suffix for classes,ParseError,,project-wide
